depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,compound,AUC,ERBB2_expr,HER2_group
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.879673173314846,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.852099785986621,5.40356427614107,HER2_mid
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.879205430207818,7.454776342678837,HER2_high
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.798547406980265,4.596684735567345,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.751834625049494,3.871557840445523,HER2_low
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.80661238248802,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.741611269394574,6.285341180473159,HER2_mid
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.819163725194329,6.766449400825998,HER2_mid
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.845649218130293,5.398114325909374,HER2_mid
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",MONENSIN (BRD:BRD-A06627858-236-03-0),0.74077702069476,4.085560624872626,HER2_low
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MONENSIN (BRD:BRD-A06627858-236-03-0),0.761422021914138,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MONENSIN (BRD:BRD-A06627858-236-03-0),0.89146423299713,6.273094358271646,HER2_mid
