compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
AZD3463 (BRD:BRD-K24593301-001-02-3),21,21,0.14415584415584418,0.5330058743165694,positive,0.8321425717379879,False,False,False,7.0,7.0,3.0,4.0,0.8054936984107117,0.7793702757753035,0.804068955490013,0.785976459875227,0.026123422635408233,0.018092495614785986,0.8571428571428571,0.9639344262295081,False,False,False
AZD5438 (BRD:BRD-K72414522-001-06-7),21,21,0.5142857142857142,0.017071353141816504,positive,0.24532142067760862,False,True,True,7.0,7.0,3.0,4.0,0.8806959563677891,0.8101320442028201,0.858787704412113,0.8134171171365201,0.07056391216496893,0.045370587275592955,0.05714285714285714,0.33220338983050846,False,False,True
AZD7762 (BRD:BRD-K86525559-001-07-8),21,21,0.4623376623376624,0.0348387956901551,positive,0.3204443395250724,False,True,True,7.0,7.0,3.0,4.0,0.6897314033737086,0.5423433932069215,0.70510324726337,0.5448740142648605,0.14738801016678715,0.16022923299850955,0.11428571428571428,0.3733333333333333,False,False,False
AZD8330 (BRD:BRD-K37687095-001-06-9),20,20,0.29172932330827067,0.21202623258054826,positive,0.632497173542649,False,False,False,,,,,,,,,,,,,,,
AZD8931 (BRD:BRD-K98572433-001-02-9),15,15,-0.7035714285714285,0.0034243370890839593,negative,0.15190769301653867,False,True,True,7.0,7.0,3.0,4.0,0.6291957343628302,0.8860980022999336,0.6579763598081838,0.9050757428214717,-0.25690226793710347,-0.24709938301328793,0.05714285714285714,0.33220338983050846,False,False,True
AZD9668 (BRD:BRD-K31476763-001-01-5),14,14,-0.22637362637362637,0.4364347945560527,negative,0.7799208652754643,False,False,False,,,,,,,,,,,,,,,
AZILSARTAN (BRD:BRD-K81074237-001-02-3),19,19,0.014035087719298246,0.9545239437308349,positive,0.9893725661698659,False,False,False,,,,,,,,,,,,,,,
AZITHROMYCIN (BRD:BRD-K74501079-001-18-1),16,16,0.15588235294117647,0.5642819694728023,positive,0.8379312384400485,False,False,False,,,,,,,,,,,,,,,
BAFETINIB (BRD:BRD-A75975749-001-01-4),14,14,0.17362637362637365,0.5527669411422413,positive,0.8343473658608532,False,False,False,,,,,,,,,,,,,,,
BAICALIN (BRD:BRD-K49962337-001-02-9),15,15,0.06428571428571428,0.8199479653196377,positive,0.949244531895759,False,False,False,,,,,,,,,,,,,,,
BALAPIRAVIR (BRD:BRD-K47976015-001-01-2),17,17,0.5147058823529412,0.03450769883204253,positive,0.3204443395250724,False,True,True,,,,,,,,,,,,,,,
BAM7 (BRD:BRD-K07442505-001-03-6),11,11,0.4090909090909091,0.21154501034209602,positive,0.632497173542649,False,False,False,,,,,,,,,,,,,,,
BARASERTIB (BRD:BRD-K31928526-001-02-1),14,14,0.04175824175824176,0.8872869731890637,positive,0.9746808320652924,False,False,False,,,,,,,,,,,,,,,
BARASERTIB-HQPA (BRD:BRD-K63923597-001-10-0),16,16,-0.27941176470588236,0.2946176535684143,negative,0.7113692473211594,False,False,False,,,,,,,,,,,,,,,
BARDOXOLONE (BRD:BRD-K20545304-001-01-6),15,15,0.017857142857142853,0.9496353041738619,positive,0.9893725661698659,False,False,False,6.0,6.0,3.0,3.0,0.8072749789067256,0.7837820628821603,0.842145936093975,0.794273003111462,0.02349291602456527,0.04787293298251305,0.7,0.9164122137404579,False,False,False
BARDOXOLONE-METHYL (BRD:BRD-K69694239-001-02-2),21,21,0.35974025974025975,0.10921076405040113,positive,0.48950814546448834,False,False,False,,,,,,,,,,,,,,,
BARICITINIB (BRD:BRD-K53581288-001-02-9),20,20,0.20902255639097742,0.37647233958713894,positive,0.7641955766791809,False,False,False,,,,,,,,,,,,,,,
BATIMASTAT (BRD:BRD-K82818427-001-04-8),15,15,0.24285714285714283,0.38312834183934164,positive,0.7663692375297371,False,False,False,,,,,,,,,,,,,,,
BAY 869766 (BRD:BRD-K85751432-001-03-3),18,18,0.1331269349845201,0.5984607651208831,positive,0.8544481574931787,False,False,False,7.0,7.0,3.0,4.0,0.7919025941953404,0.813516810130728,0.802898447602332,0.7892359443669275,-0.021614215935387593,0.013662503235404522,0.8571428571428571,0.9639344262295081,False,False,False
BAY-11-7082 (BRD:BRD-K15025317-001-15-1),21,21,0.1012987012987013,0.6621759840226068,positive,0.8886039420850483,False,False,False,7.0,7.0,3.0,4.0,0.9126871489801257,0.9001832922168678,0.913334353488808,0.9145982364720785,0.012503856763257937,-0.0012638829832705145,0.8571428571428571,0.9639344262295081,False,False,False
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),21,21,0.3064935064935065,0.17659418586665693,positive,0.5974431652117167,False,False,False,8.0,8.0,3.0,5.0,0.8825615831415264,0.8358755621672577,0.862480971416291,0.850434274704159,0.04668602097426877,0.012046696712131988,0.25,0.5196969696969697,False,False,False
BAY-87-2243 (BRD:BRD-K70463136-001-01-5),18,18,-0.2714138286893705,0.27595238461589006,negative,0.6902718289400309,False,False,False,,,,,,,,,,,,,,,
BECLOMETHASONE-DIPROPIONATE (BRD:BRD-K97810537-001-13-6),15,15,0.15714285714285714,0.5759526006037947,positive,0.841731368421053,False,False,False,,,,,,,,,,,,,,,
BELINOSTAT (BRD:BRD-K17743125-001-08-4),16,16,0.19411764705882353,0.47128972836210753,positive,0.7928869441992983,False,False,False,,,,,,,,,,,,,,,
BENDAMUSTINE (BRD:BRD-K17068645-003-04-2),14,14,0.4901098901098901,0.07522006672685848,positive,0.4158424847475296,False,False,True,,,,,,,,,,,,,,,
