compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
LY2784544 (BRD:BRD-K25630527-001-03-8),22,22,0.40824392998306047,0.05926851355254248,positive,0.3782528700529743,False,False,True
ELACRIDAR (BRD:BRD-K88807631-001-01-3),15,15,-0.4964285714285714,0.05979741374992394,negative,0.3782528700529743,False,False,True
AVN-944 (BRD:BRD-K62196610-001-01-6),10,10,0.6121212121212121,0.05997214247725527,positive,0.3782528700529743,False,False,True
MK-2461 (BRD:BRD-K56405753-001-02-4),11,11,0.5818181818181819,0.06041989621564838,positive,0.37837424367672,False,False,True
PPT (BRD:BRD-K00312224-001-09-5),14,14,0.5120879120879122,0.0611984861564584,positive,0.3805511498320618,False,False,True
DOLASTATIN-10 (BRD:BRD-K78567475-001-01-4),21,21,0.4142857142857143,0.061879942683025164,positive,0.38209782789588265,False,False,True
TIPIFARNIB (BRD:BRD-K62965247-001-04-9),19,19,0.4350877192982456,0.06263930438145028,positive,0.3841007345056986,False,False,True
DEXRAZOXANE (BRD:BRD-K07265709-003-05-6),19,19,0.4333333333333333,0.06382621222101989,positive,0.38609573035697053,False,False,True
OXIPEROMIDE (BRD:BRD-K78096648-001-05-7),14,14,0.5076923076923077,0.06383915813376863,positive,0.38609573035697053,False,False,True
SPERMIDINE (BRD:BRD-K40438880-305-06-6),16,16,-0.4705882352941176,0.06581947250108111,negative,0.3953645865200994,False,False,True
TOSEDOSTAT (BRD:BRD-K92241597-001-06-0),21,21,0.4051948051948052,0.0684236454174195,positive,0.4082302628620367,False,False,True
9-AMINOACRIDINE (BRD:BRD-K00535541-001-06-3),21,21,0.40389610389610386,0.06939949544788349,positive,0.40853169653654076,False,False,True
PHENYLMERCURIC-ACETATE (BRD:BRD-K74193284-001-04-8),21,21,0.40389610389610386,0.06939949544788349,positive,0.40853169653654076,False,False,True
CPI-1189 (BRD:BRD-K11073688-001-01-6),11,11,0.5636363636363637,0.07095173447637551,positive,0.41196636887186605,False,False,True
FLOXURIDINE (BRD:BRD-K47832606-001-30-1),20,20,0.4120300751879699,0.07104721866412453,positive,0.41196636887186605,False,False,True
JK-184 (BRD:BRD-K38860038-001-01-2),21,21,0.40129870129870127,0.07138262110690317,positive,0.41196636887186605,False,False,True
GIVINOSTAT (BRD:BRD-K13810148-311-03-2),21,21,0.4,0.07239002577225485,positive,0.4150674854344223,False,False,True
HEXAMINOLEVULINATE (BRD:BRD-K73753850-003-01-6),20,20,0.4090225563909774,0.07334086574364806,positive,0.4158424847475296,False,False,True
PROPRANOLOL (BRD:BRD-A10070317-003-28-3),10,10,-0.5878787878787878,0.07387770688865808,negative,0.4158424847475296,False,False,True
BENDAMUSTINE (BRD:BRD-K17068645-003-04-2),14,14,0.4901098901098901,0.07522006672685848,positive,0.4158424847475296,False,False,True
TG-02 (BRD:BRD-K14560436-001-01-4),22,22,0.3867871259175608,0.07536283227083158,positive,0.4158424847475296,False,False,True
NSC-663284 (BRD:BRD-K03109492-001-02-2),20,20,0.4060150375939849,0.0756893721143978,positive,0.4158424847475296,False,False,True
VINCRISTINE (BRD:BRD-K12251893-065-04-7),20,20,0.4060150375939849,0.0756893721143978,positive,0.4158424847475296,False,False,True
EXATECAN-MESYLATE (BRD:BRD-K92150287-066-01-2),15,15,0.47142857142857136,0.07607042915033116,positive,0.4158424847475296,False,False,True
EXELBINE (BRD:BRD-K69280563-001-01-8),22,22,0.38565782044042923,0.07629273219603601,positive,0.4158424847475296,False,False,True
MK-8745 (BRD:BRD-K25279140-001-01-5),19,19,0.4140350877192982,0.0780194939845629,positive,0.41825598861034996,False,False,True
8-HYDROXY-PIPAT (BRD:BRD-A60594020-034-01-1),16,16,-0.45294117647058824,0.07809874141672499,negative,0.41825598861034996,False,False,True
TORIN-1 (BRD:BRD-K40175214-001-11-6),22,22,-0.383399209486166,0.07817838660087374,negative,0.41825598861034996,False,False,True
AT13387 (BRD:BRD-K58435339-001-03-0),15,15,0.4678571428571427,0.07863023115438063,positive,0.41825598861034996,False,False,True
BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),20,20,0.39999999999999997,0.08055387210850923,positive,0.42359491437769387,False,False,True
ISPINESIB (BRD:BRD-K64881305-001-03-7),14,14,0.4813186813186813,0.08141829504280486,positive,0.42359491437769387,False,False,True
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),10,10,0.5757575757575757,0.08155281477260244,positive,0.42359491437769387,False,False,True
UNC2250 (BRD:BRD-K01773560-001-02-4),10,10,-0.5757575757575757,0.08155281477260244,negative,0.42359491437769387,False,False,True
LACITOL (BRD:BRD-K40787673-001-02-1),11,11,0.5454545454545455,0.08265095734417503,positive,0.42678827681231907,False,False,True
NMS-E973 (BRD:BRD-K58770988-001-01-8),21,21,0.38571428571428573,0.08418819066159455,positive,0.4304510523486097,False,False,True
OXIRACETAM (BRD:BRD-K50677762-001-01-5),18,18,0.4179566563467492,0.08435264811978462,positive,0.4304510523486097,False,False,True
SB-505124 (BRD:BRD-K40109029-001-02-9),16,16,-0.4441176470588235,0.08482274417741573,negative,0.4304510523486097,False,False,True
RALTITREXED (BRD:BRD-K89839824-001-05-3),21,21,0.38311688311688313,0.0864783097986004,positive,0.4348815721831591,False,False,True
OUABAIN (BRD:BRD-K33277808-331-01-3),19,19,0.40350877192982454,0.08668081166957645,positive,0.4348815721831591,False,False,True
VX-765 (BRD:BRD-K26712974-001-01-5),14,14,0.47252747252747257,0.0879674246125423,positive,0.4388431408636997,False,False,True
SB-2343 (BRD:BRD-K98795921-001-01-7),22,22,-0.3709768492377189,0.08918063289216062,negative,0.4396312173203439,False,False,True
AR-12 (BRD:BRD-K90497590-001-04-2),20,20,0.38947368421052625,0.08961904769837135,positive,0.4396312173203439,False,False,True
DACOMITINIB (BRD:BRD-K57169635-001-04-5),20,20,-0.38947368421052625,0.08961904769837135,negative,0.4396312173203439,False,False,True
PERUVOSIDE (BRD:BRD-A72716251-001-01-5),21,21,0.37792207792207794,0.09119661406939472,positive,0.44489839902362177,False,False,True
COMBRETASTATIN-A-4 (BRD:BRD-K61195623-001-01-4),21,21,0.3766233766233766,0.092405309430575,positive,0.4483180671824051,False,False,True
BETA-LAPACHONE (BRD:BRD-K28061410-001-06-6),22,22,-0.36645962732919257,0.09345377564913727,negative,0.450927234416329,False,False,True
LY2183240 (BRD:BRD-K37865504-001-04-1),16,16,0.4323529411764706,0.09442103753478692,positive,0.4531183486044394,False,False,True
