compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
NSC-697923 (BRD:BRD-K20605374-001-05-4),8,8,3,5,0.8492379717184916,0.7942639007706533,0.842499291750085,0.799131263579576,0.05497407094783824,0.043368028170509,0.14285714285714285,0.3951612903225806,False,False,False
OTS167 (BRD:BRD-K53417444-003-03-1),8,8,3,5,0.5036094846823307,0.3763500371913578,0.552594813824468,0.344760020210571,0.1272594474909729,0.20783479361389695,0.14285714285714285,0.3951612903225806,False,False,False
PHA 793887 (BRD:BRD-K64800655-001-07-4),8,8,3,5,0.910048606010965,0.759641022156671,0.930957228744065,0.751553421164929,0.1504075838542941,0.179403807579136,0.14285714285714285,0.3951612903225806,False,False,False
PLX 4720 (BRD:BRD-K16478699-001-09-2),8,8,3,5,0.9002483869312877,0.8444729522620522,0.920110500338135,0.844576998483287,0.05577543466923551,0.07553350185484797,0.14285714285714285,0.3951612903225806,False,False,False
RALTITREXED (BRD:BRD-K89839824-001-05-3),8,8,3,5,0.659368010278934,0.5221541507552085,0.661146030816401,0.53745474719539,0.13721385952372545,0.123691283621011,0.14285714285714285,0.3951612903225806,False,False,False
SELINEXOR (BRD:BRD-K21361524-001-01-1),8,8,3,5,0.643584330733708,0.5378210446685099,0.604393099452461,0.523277949546691,0.10576328606519814,0.08111514990576996,0.14285714285714285,0.3951612903225806,False,False,False
TEROXIRONE (BRD:BRD-A39935389-001-05-9),8,8,3,5,0.829327069358119,0.6455254666514453,0.821925067393445,0.719336038028659,0.18380160270667367,0.10258902936478598,0.14285714285714285,0.3951612903225806,False,False,False
VU0238429 (BRD:BRD-K24187789-001-01-7),8,8,3,5,0.8278518090159244,0.7749991985034852,0.834147222886197,0.775155085321406,0.05285261051243917,0.05899213756479105,0.14285714285714285,0.3951612903225806,False,False,False
DOLUTEGRAVIR (BRD:BRD-K36386086-001-01-1),6,6,3,3,0.839443656560431,0.8795545961869796,0.828398018775616,0.896510501658927,-0.04011093962654866,-0.06811248288331095,0.2,0.519205298013245,False,False,False
OCTENIDINE (BRD:BRD-K04568635-300-01-4),6,6,3,3,0.8475601941769547,0.810959761388344,0.85049148446582,0.792919350711428,0.03660043278861069,0.05757213375439196,0.2,0.519205298013245,False,False,False
OXIPEROMIDE (BRD:BRD-K78096648-001-05-7),6,6,3,3,0.9461089827881057,0.825964701186754,0.974818076840661,0.839319812646402,0.12014428160135171,0.13549826419425903,0.2,0.519205298013245,False,False,False
AFURESERTIB (BRD:BRD-K25412176-001-01-9),7,7,3,4,0.7650441787873777,0.8369115959728672,0.749500459327703,0.8283055254969991,-0.0718674171854895,-0.07880506616929606,0.22857142857142856,0.519205298013245,False,False,False
ANGUIDINE (BRD:BRD-K45724504-001-01-6),7,7,3,4,0.6770916669923134,0.6108200580561669,0.716353686048572,0.5903855324024145,0.06627160893614648,0.12596815364615743,0.22857142857142856,0.519205298013245,False,False,False
ASYMMETRICAL-DIMETHYLARGININE (BRD:BRD-K36269323-300-02-6),7,7,3,4,0.8919243790669033,0.8244425033039955,0.86696866398072,0.8258911656844845,0.06748187576290776,0.041077498296235526,0.22857142857142856,0.519205298013245,False,False,False
BRILLIANT-GREEN (BRD:BRD-K60348325-065-09-9),7,7,3,4,0.6222173931155742,0.5380201482227975,0.566166001541809,0.5443141347663485,0.08419724489277669,0.02185186677546047,0.22857142857142856,0.519205298013245,False,False,False
CCG-50014 (BRD:BRD-K08893438-001-04-9),7,7,3,4,0.8577804200241911,0.8038056652018577,0.884561445440011,0.8166964186008006,0.05397475482233338,0.06786502683921047,0.22857142857142856,0.519205298013245,False,False,False
CHIR-124 (BRD:BRD-K02241333-001-02-7),7,7,3,4,0.8264671499169863,0.7232577461693761,0.803640459457538,0.7451370433431406,0.10320940374761023,0.058503416114397466,0.22857142857142856,0.519205298013245,False,False,False
DACINOSTAT (BRD:BRD-K56957086-001-06-3),7,7,3,4,0.629320847233098,0.5770206250421177,0.590659354206359,0.54972845613166,0.052300222190980294,0.04093089807469896,0.22857142857142856,0.519205298013245,False,False,False
EPOTHILONE-D (BRD:BRD-K52762805-001-01-2),7,7,3,4,0.32382865981036424,0.0971145627720056,0.432611894087301,0.08156790937308755,0.22671409703835865,0.35104398471421344,0.22857142857142856,0.519205298013245,False,False,False
FDCYD (BRD:BRD-K18157228-001-01-7),7,7,3,4,0.7732990573205649,0.7037063554216055,0.773141054540985,0.711815451714369,0.06959270189895939,0.06132560282661603,0.22857142857142856,0.519205298013245,False,False,False
GIVINOSTAT (BRD:BRD-K13810148-311-03-2),7,7,3,4,0.7650340926793296,0.6776399629883793,0.741723068259459,0.6464283361179519,0.0873941296909504,0.09529473214150708,0.22857142857142856,0.519205298013245,False,False,False
HYPOESTOXIDE (BRD:BRD-A51571244-001-01-9),7,7,3,4,0.6788991074288814,0.7484446380177715,0.671629724332468,0.7546637744441055,-0.06954553058889013,-0.08303405011163745,0.22857142857142856,0.519205298013245,False,False,False
LASALOCID (BRD:BRD-A72711497-236-03-8),7,7,3,4,0.8577279827968843,0.8079579513423187,0.858720707397387,0.8102199287804945,0.0497700314545656,0.048500778616892504,0.22857142857142856,0.519205298013245,False,False,False
LDN-57444 (BRD:BRD-K94485812-001-02-9),7,7,3,4,0.9394161721743567,0.9084150134995105,0.930076795566153,0.901520837321386,0.031001158674846208,0.028555958244766977,0.22857142857142856,0.519205298013245,False,False,False
OUABAIN (BRD:BRD-K33277808-331-01-3),7,7,3,4,0.553877765044061,0.503211006768071,0.546989198257969,0.503743080501833,0.0506667582759901,0.04324611775613596,0.22857142857142856,0.519205298013245,False,False,False
PARBENDAZOLE (BRD:BRD-K02407574-001-09-7),7,7,3,4,0.7275086361340777,0.6418648788704092,0.709267883217276,0.641521760780532,0.08564375726366846,0.06774612243674394,0.22857142857142856,0.519205298013245,False,False,False
PF-04691502 (BRD:BRD-K07310275-001-02-5),7,7,3,4,0.688803834183847,0.671468919311283,0.689073286951196,0.67201502764911,0.017334914872564,0.017058259302085932,0.22857142857142856,0.519205298013245,False,False,False
PIDNARULEX (BRD:BRD-K12787259-001-04-3),7,7,3,4,0.8312739639595482,0.76140786301403,0.818195359837096,0.733435621086163,0.06986610094551826,0.08475973875093301,0.22857142857142856,0.519205298013245,False,False,False
PUROMYCIN (BRD:BRD-A28970875-300-04-9),7,7,3,4,0.8394953483133439,0.7224616864784791,0.819886394641233,0.6846782741318005,0.11703366183486485,0.13520812050943254,0.22857142857142856,0.519205298013245,False,False,False
SNX 2112 (BRD:BRD-K71281111-001-04-3),7,7,3,4,0.5581990238961426,0.40952293520893773,0.505839707010125,0.42600093675239303,0.1486760886872049,0.079838770257732,0.22857142857142856,0.519205298013245,False,False,False
TEDIZOLID (BRD:BRD-K59436580-001-01-7),7,7,3,4,0.907841639055604,0.8403796112227258,0.89011142412797,0.82397417857204,0.06746202783287825,0.06613724555592992,0.22857142857142856,0.519205298013245,False,False,False
THIOSTREPTON (BRD:BRD-K58049875-001-04-7),7,7,3,4,0.8450434935618126,0.798375223520003,0.825175344018303,0.7876042786112465,0.04666827004180962,0.03757106540705646,0.22857142857142856,0.519205298013245,False,False,False
TMC-353121 (BRD:BRD-K66097663-001-01-8),7,7,3,4,0.8410768331680093,0.8791894890668878,0.840323804683925,0.8855460867534275,-0.03811265589887847,-0.04522228206950252,0.22857142857142856,0.519205298013245,False,False,False
U-0126 (BRD:BRD-K18787491-001-08-6),7,7,3,4,0.938410649223239,0.8657055078607672,0.962017825352424,0.8664813942581184,0.07270514136247186,0.09553643109430554,0.22857142857142856,0.519205298013245,False,False,False
WZ-3146 (BRD:BRD-K73293050-001-03-1),7,7,3,4,0.8371257172743652,0.8045640973638856,0.842425277107557,0.792198853366628,0.03256161991047968,0.050226423740929005,0.22857142857142856,0.519205298013245,False,False,False
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),8,8,3,5,0.8825615831415264,0.8358755621672577,0.862480971416291,0.850434274704159,0.04668602097426877,0.012046696712131988,0.25,0.5196969696969697,False,False,False
BRUCEANTIN (BRD:BRD-A36057565-001-01-0),8,8,3,5,0.681071259684647,0.573786871404615,0.724405537789344,0.600392117912936,0.10728438828003195,0.12401341987640802,0.25,0.5196969696969697,False,False,False
CUDC-907 (BRD:BRD-K77638923-001-02-0),8,8,3,5,0.4804204848847056,0.42848999957854,0.487184123520068,0.426816201567535,0.05193048530616562,0.06036792195253299,0.25,0.5196969696969697,False,False,False
CURCUMIN (BRD:BRD-K07572174-001-39-4),8,8,3,5,0.8189513923910127,0.8459234792080178,0.809032032991699,0.846105142233449,-0.026972086817005136,-0.03707310924175,0.25,0.5196969696969697,False,False,False
DACOMITINIB (BRD:BRD-K57169635-001-04-5),8,8,3,5,0.692927155048098,0.852389483469428,0.6898761733636252,0.8240575019647307,-0.15946232842133,-0.13418132860110554,0.25,0.5196969696969697,False,False,False
