gene_original,SYMBOL,ENTREZID
CCDC85A (114800),CCDC85A,114800
PUM2 (23369),PUM2,23369
MRPL43 (84545),MRPL43,84545
HPF1 (54969),HPF1,54969
ZFR (51663),ZFR,51663
ZNF280C (55609),ZNF280C,55609
NPFFR2 (10886),NPFFR2,10886
PHF21B (112885),PHF21B,112885
TRAF1 (7185),TRAF1,7185
RC3H2 (54542),RC3H2,54542
IL17RB (55540),IL17RB,55540
TRAF3IP2 (10758),TRAF3IP2,10758
GYG2 (8908),GYG2,8908
DCBLD2 (131566),DCBLD2,131566
SERPINB3 (6317),SERPINB3,6317
SOAT1 (6646),SOAT1,6646
PKP2 (5318),PKP2,5318
MSH4 (4438),MSH4,4438
F7 (2155),F7,2155
GDI2 (2665),GDI2,2665
PRDM1 (639),PRDM1,639
ATG5 (9474),ATG5,9474
TMCC3 (57458),TMCC3,57458
PITHD1 (57095),PITHD1,57095
MTA3 (57504),MTA3,57504
USP13 (8975),USP13,8975
ATP11B (23200),ATP11B,23200
LAMC2 (3918),LAMC2,3918
CDK14 (5218),CDK14,5218
SEC61A1 (29927),SEC61A1,29927
PPP1R12A (4659),PPP1R12A,4659
RASGRF1 (5923),RASGRF1,5923
CAMK2B (816),CAMK2B,816
CROCC (9696),CROCC,9696
POLR3E (55718),POLR3E,55718
ATP2B4 (493),ATP2B4,493
ZC3H11A (9877),ZC3H11A,9877
RIOK2 (55781),RIOK2,55781
YIPF1 (54432),YIPF1,54432
NDC1 (55706),NDC1,55706
DGKG (1608),DGKG,1608
FLYWCH1 (84256),FLYWCH1,84256
UNKL (64718),UNKL,64718
TBXAS1 (6916),TBXAS1,6916
PARP12 (64761),PARP12,64761
ALDH18A1 (5832),ALDH18A1,5832
TARBP1 (6894),TARBP1,6894
GATB (5188),GATB,5188
MXD1 (4084),MXD1,4084
CDK17 (5128),CDK17,5128
DNAJC25 (548645),DNAJC25,548645
SLC2A3 (6515),SLC2A3,6515
PSD (5662),PSD,5662
